,key,val,val
407,Chuyên ngành Chính sách công,7310201D-01,7310201D-01
408,Xây dựng Đảng và chính quyền nhà nước,7310202,7310202
409,Chuyên ngành Quản lý nhà nước về kinh tế,7310205-01,7310205-01
410,Chuyên ngành Quản lí tài chính công,7310205-02,7310205-02
411,Chuyên ngành Quản lý nhà nướcvề nông nghiệp và phát triển nông thôn,7310205-03,7310205-03
412,Chuyên ngành Thanh tra,7310205-04,7310205-04
413,Thông tin - thư viện,7320201,7320201
414,Lưu trữ học,QHX09,QHX09
415,TẠI HÀ NỘI,,
416,CN Văn hóa du lịch,7229040-01QN,7229040-01QN
417,CN Văn hóa truyền thông,7229040-02,7229040-02
418,CN Văn hóa doanh nghiệp,7229040-03,7229040-03
419,CN Quản lý nhà nước về kinh tế,7310205-01,7310205-01
420,CN Quản lí tài chính công,7310205-02,7310205-02
421,CN Quản lý nhà nước về NN và phát triển NT,7310205-03,7310205-03
422,CN Thanh tra,7380101-01QN,7380101-01QN
423,CN Chính sách công,7310201-01,7310201-01
424,Phân hiệu tại Quảng Nam,,
425,CN Văn hóa Du lịch,7229040D-01,7229040D-01
426,Cơ sở tại TPHCM,,
427,CN QLNN về Kinh tế,7310205-01,7310205-01
428,CN Quản lý tài chính công,7310205-02,7310205-02
429,CN QLNN về Tôn giáo,7310205-03,7310205-03
430,Quản trị Kinh doanh,7340101,7340101
431,Quản trị Văn phòng,7340406LT,7340406LT
432,Công nghệ Thông tin,CN1,CN1
433,Giáo dục Mầm non (cao đẳng),51140201,51140201
434,Giáo dục Tiểu học (cao đẳng),51140202,51140202
435,Giáo dục Thể chất (cao đẳng),51140206,51140206
436,Sư phạm Toán học (cao đẳng),51140209,51140209
437,Sư phạm Tin học (cao đẳng),51140210,51140210
438,Sư phạm Vật lý (cao đẳng),51140211,51140211
439,Sư phạm Hoá học (cao đẳng),51140212,51140212
440,Sư phạm Sinh học (cao đẳng),51140213,51140213
441,Sư phạm Ngữ văn (cao đẳng),51140217,51140217
442,Sư phạm Lịch sử (cao đẳng),51140218,51140218
443,Sư phạm Địa lý (cao đẳng),51140219,51140219
444,Sư phạm Âm nhạc (cao đẳng),51140221,51140221
445,Sư phạm Mỹ thuật (cao đẳng),51140222,51140222
446,Sư phạm Tiếng Anh (cao đẳng),51140231,51140231
447,Sư phạm mầm non (trung cấp),42140201,42140201
448,Sư phạm tiểu học (trung cấp),42140202,42140202
449,Sư phạm thể dục thể thao (trung cấp),42140206,42140206
450,Hệ Cao đẳng,,
451,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học),7140210,7140210
452,Sư phạm Hóa học (Chuyên ngành Hóa – Lý),7140212,7140212
453,Sư phạm Sinh học (Chuyên ngành Sinh học – Công nghệ THPT),7140213,7140213
454,Sư phạm Tiếng Anh (Chuyên ngành Tiếng Anh Tiểu học- Mầm non),7140231,7140231
455,Sư phạm Lịch sử (Chuyên ngành Sử - Địa),7140218,7140218
456,Các ngành trình độ cao đẳng,,
457,Các ngành đào tạo đại học:,,
458,Quản lý Tài nguyên và Môi trường,7850101,7850101
